Feature,coef, P>|z|  ,Target
lahisp20share,58.0445,0.331,Age Adjusted Rate Assault
lahunv10share,-41.5438,0.377,Age Adjusted Rate Assault
lahunv20share,-608.3296,0.017,Age Adjusted Rate Assault
lasnap10share,-47.5777,0.152,Age Adjusted Rate Assault
lasnap20share,272.6649,0.007,Age Adjusted Rate Assault
lawhite10share,46.2949,0,Age Adjusted Rate Assault
lawhite20share,-255.9268,0,Age Adjusted Rate Assault
lalowi10share,115.612,0,Age Adjusted Rate Assault
lalowi20share,-542.6005,0,Age Adjusted Rate Assault
lapop10share,-66.1083,0,Age Adjusted Rate Assault
lapop20share,420.6961,0,Age Adjusted Rate Assault
const,2.6503,0,Age Adjusted Rate Intentional
lablack10share,-1.7887,0.399,Age Adjusted Rate Intentional
lablack20share,-64.9814,0.065,Age Adjusted Rate Intentional
lahisp10share,-4.119,0.003,Age Adjusted Rate Intentional
lahisp20share,6.6047,0.216,Age Adjusted Rate Intentional
lahunv10share,-20.7844,0,Age Adjusted Rate Intentional
lahunv20share,-18.6571,0.17,Age Adjusted Rate Intentional
lasnap10share,0.5514,0.823,Age Adjusted Rate Intentional
lasnap20share,5.5832,0.509,Age Adjusted Rate Intentional
lawhite10share,4.1174,0,Age Adjusted Rate Intentional
lawhite20share,-7.1581,0.001,Age Adjusted Rate Intentional
lalowi10share,7.6259,0.001,Age Adjusted Rate Intentional
lalowi20share,-15.2905,0.005,Age Adjusted Rate Intentional
lapop10share,-1.1819,0.429,Age Adjusted Rate Intentional
lapop20share,12.79,0,Age Adjusted Rate Intentional
const,2.8268,0,Age Adjusted Rate Transport
lablack10share,3.2087,0,Age Adjusted Rate Transport
lablack20share,-102.9896,0.001,Age Adjusted Rate Transport
lahisp10share,-7.3539,0,Age Adjusted Rate Transport
lahisp20share,22.5986,0,Age Adjusted Rate Transport
lahunv10share,-8.0342,0.006,Age Adjusted Rate Transport
lahunv20share,22.2329,0.11,Age Adjusted Rate Transport
lasnap10share,2.4954,0.145,Age Adjusted Rate Transport
lasnap20share,6.9239,0.183,Age Adjusted Rate Transport
lawhite10share,4.7755,0,Age Adjusted Rate Transport
lawhite20share,-4.0799,0.035,Age Adjusted Rate Transport
lalowi10share,1.2304,0.222,Age Adjusted Rate Transport
lalowi20share,-10.1154,0.019,Age Adjusted Rate Transport
lapop10share,0.2972,0.664,Age Adjusted Rate Transport
lapop20share,2.7632,0.238,Age Adjusted Rate Transport
const,3.7173,0,Age Adjusted Rate Mental
lablack10share,4.4449,0,Age Adjusted Rate Mental
lablack20share,-78.6366,0,Age Adjusted Rate Mental
lahisp10share,-0.4079,0.23,Age Adjusted Rate Mental
lahisp20share,-11.7562,0,Age Adjusted Rate Mental
lahunv10share,-6.6321,0,Age Adjusted Rate Mental
lahunv20share,8.1292,0.181,Age Adjusted Rate Mental
lasnap10share,4.6689,0,Age Adjusted Rate Mental
lasnap20share,-22.2901,0,Age Adjusted Rate Mental
lawhite10share,1.4235,0,Age Adjusted Rate Mental
lawhite20share,2.3557,0.065,Age Adjusted Rate Mental
lalowi10share,-1.1163,0.012,Age Adjusted Rate Mental
lalowi20share,19.6636,0,Age Adjusted Rate Mental
lapop10share,-0.6113,0.176,Age Adjusted Rate Mental
lapop20share,-5.9722,0.001,Age Adjusted Rate Mental
const,1.2964,0,Age Adjusted Rate Psychoactive
lablack10share,27.4687,0.665,Age Adjusted Rate Psychoactive
